Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
6	388	0	0	0.0	0.6666666666666666	0.0	43.111111111111114	11	1794	0	0	0.0	1.375	0.0	224.25	dns
12	2071	1	277	1.0	1.3333333333333333	277.0	230.11111111111111	6	388	0	0	0.0	0.6666666666666666	0.0	43.111111111111114	dns
6	388	0	0	0.0	0.75	0.0	48.5	11	1794	0	0	0.0	1.375	0.0	224.25	dns
6	388	0	0	0.0	0.6666666666666666	0.0	43.111111111111114	12	2071	1	277	1.0	1.3333333333333333	277.0	230.11111111111111	dns
12	2071	1	277	1.0	1.3333333333333333	277.0	230.11111111111111	6	388	0	0	0.0	0.6666666666666666	0.0	43.111111111111114	dns
6	388	0	0	0.0	0.75	0.0	48.5	11	1794	0	0	0.0	1.375	0.0	224.25	dns
6	388	0	0	0.0	0.6666666666666666	0.0	43.111111111111114	12	2071	1	277	1.0	1.3333333333333333	277.0	230.11111111111111	dns
12	2071	1	277	1.0	1.3333333333333333	277.0	230.11111111111111	6	388	0	0	0.0	0.6666666666666666	0.0	43.111111111111114	dns
6	388	0	0	0.0	0.6666666666666666	0.0	43.111111111111114	11	1794	0	0	0.0	1.375	0.0	224.25	dns
6	388	0	0	0.0	0.6666666666666666	0.0	43.111111111111114	12	2071	1	277	1.0	1.3333333333333333	277.0	230.11111111111111	dns
12	2071	1	277	1.0	1.3333333333333333	277.0	230.11111111111111	6	388	0	0	0.0	0.6666666666666666	0.0	43.111111111111114	dns
6	388	0	0	0.0	0.6666666666666666	0.0	43.111111111111114	12	2071	1	277	1.0	1.3333333333333333	277.0	230.11111111111111	dns
6	388	0	0	0.0	0.5454545454545454	0.0	35.27272727272727	12	2071	1	277	1.0	1.3333333333333333	277.0	230.11111111111111	dns
12	2071	1	277	1.0	1.3333333333333333	277.0	230.11111111111111	6	388	0	0	0.0	0.6666666666666666	0.0	43.111111111111114	dns
6	388	0	0	0.0	0.6666666666666666	0.0	43.111111111111114	12	2071	1	277	1.0	1.3333333333333333	277.0	230.11111111111111	dns
6	388	0	0	0.0	0.5454545454545454	0.0	35.27272727272727	12	2071	0	0	0.0	1.0909090909090908	0.0	188.27272727272728	dns
12	2071	1	277	1.0	1.3333333333333333	277.0	230.11111111111111	6	388	0	0	0.0	0.6666666666666666	0.0	43.111111111111114	dns
6	388	0	0	0.0	0.6666666666666666	0.0	43.111111111111114	12	2071	1	277	1.0	1.3333333333333333	277.0	230.11111111111111	dns
6	388	0	0	0.0	0.5454545454545454	0.0	35.27272727272727	12	2071	0	0	0.0	1.0909090909090908	0.0	188.27272727272728	dns
12	2071	1	277	1.0	1.3333333333333333	277.0	230.11111111111111	6	388	0	0	0.0	0.6666666666666666	0.0	43.111111111111114	dns
6	388	0	0	0.0	0.5454545454545454	0.0	35.27272727272727	12	2071	1	277	1.0	1.3333333333333333	277.0	230.11111111111111	dns
6	388	0	0	0.0	0.5454545454545454	0.0	35.27272727272727	12	2071	0	0	0.0	1.0909090909090908	0.0	188.27272727272728	dns
12	2071	1	277	1.0	1.3333333333333333	277.0	230.11111111111111	6	388	0	0	0.0	0.6666666666666666	0.0	43.111111111111114	dns
6	388	0	0	0.0	0.5454545454545454	0.0	35.27272727272727	12	2071	0	0	0.0	1.0909090909090908	0.0	188.27272727272728	dns
6	388	0	0	0.0	0.5454545454545454	0.0	35.27272727272727	12	2071	0	0	0.0	1.0909090909090908	0.0	188.27272727272728	dns
12	2071	0	0	0.0	1.0909090909090908	0.0	188.27272727272728	6	388	0	0	0.0	0.6666666666666666	0.0	43.111111111111114	dns
6	388	0	0	0.0	0.5454545454545454	0.0	35.27272727272727	12	2071	0	0	0.0	1.0909090909090908	0.0	188.27272727272728	dns
6	388	0	0	0.0	0.5454545454545454	0.0	35.27272727272727	12	2071	0	0	0.0	1.0909090909090908	0.0	188.27272727272728	dns
12	2071	0	0	0.0	1.0909090909090908	0.0	188.27272727272728	6	388	0	0	0.0	0.5454545454545454	0.0	35.27272727272727	dns
6	388	0	0	0.0	0.5454545454545454	0.0	35.27272727272727	12	2071	0	0	0.0	1.0909090909090908	0.0	188.27272727272728	dns
6	388	0	0	0.0	0.5454545454545454	0.0	35.27272727272727	12	2071	0	0	0.0	1.0909090909090908	0.0	188.27272727272728	dns
13	2142	1	71	1.0	1.0833333333333333	71.0	178.5	6	388	0	0	0.0	0.5454545454545454	0.0	35.27272727272727	dns
