Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
490	76785	49	7655	49.0	49.0	7655.0	7678.5	7	454	1	66	1.0	0.7	66.0	45.4	voice
7	454	1	66	1.0	0.7	66.0	45.4	490	76785	49	7655	49.0	49.0	7655.0	7678.5	voice
12	790	5	336	5.0	1.0909090909090908	336.0	71.81818181818181	490	76785	49	7655	49.0	49.0	7655.0	7678.5	voice
490	76785	49	7655	49.0	49.0	7655.0	7678.5	7	454	1	66	1.0	0.7	66.0	45.4	voice
7	454	1	66	1.0	0.7	66.0	45.4	490	76785	49	7655	49.0	49.0	7655.0	7678.5	voice
12	790	5	336	5.0	1.0909090909090908	336.0	71.81818181818181	494	77050	4	265	4.0	44.90909090909091	265.0	7004.545454545455	voice
490	76785	49	7655	49.0	49.0	7655.0	7678.5	7	454	1	66	1.0	0.7	66.0	45.4	voice
12	790	5	336	5.0	1.0909090909090908	336.0	71.81818181818181	490	76785	49	7655	49.0	49.0	7655.0	7678.5	voice
12	790	5	336	5.0	1.0909090909090908	336.0	71.81818181818181	494	77050	4	265	4.0	44.90909090909091	265.0	7004.545454545455	voice
490	76785	49	7655	49.0	49.0	7655.0	7678.5	7	454	1	66	1.0	0.7	66.0	45.4	voice
12	790	5	336	5.0	1.0909090909090908	336.0	71.81818181818181	494	77050	4	265	4.0	44.90909090909091	265.0	7004.545454545455	voice
12	790	5	336	5.0	1.0909090909090908	336.0	71.81818181818181	494	77050	4	265	4.0	44.90909090909091	265.0	7004.545454545455	voice
494	77050	4	265	4.0	44.90909090909091	265.0	7004.545454545455	7	454	1	66	1.0	0.7	66.0	45.4	voice
12	790	5	336	5.0	1.0909090909090908	336.0	71.81818181818181	494	77050	4	265	4.0	44.90909090909091	265.0	7004.545454545455	voice
12	790	5	336	5.0	1.0909090909090908	336.0	71.81818181818181	494	77050	4	265	4.0	44.90909090909091	265.0	7004.545454545455	voice
494	77050	4	265	4.0	44.90909090909091	265.0	7004.545454545455	12	790	5	336	5.0	1.0909090909090908	336.0	71.81818181818181	voice
12	790	5	336	5.0	1.0909090909090908	336.0	71.81818181818181	494	77050	4	265	4.0	44.90909090909091	265.0	7004.545454545455	voice
12	790	5	336	5.0	1.0909090909090908	336.0	71.81818181818181	494	77050	4	265	4.0	44.90909090909091	265.0	7004.545454545455	voice
494	77050	4	265	4.0	44.90909090909091	265.0	7004.545454545455	12	790	5	336	5.0	1.0909090909090908	336.0	71.81818181818181	voice
12	790	0	0	0.0	1.0	0.0	65.83333333333333	494	77050	4	265	4.0	44.90909090909091	265.0	7004.545454545455	voice
12	790	5	336	5.0	1.0909090909090908	336.0	71.81818181818181	494	77050	4	265	4.0	44.90909090909091	265.0	7004.545454545455	voice
494	77050	4	265	4.0	44.90909090909091	265.0	7004.545454545455	12	790	5	336	5.0	1.0909090909090908	336.0	71.81818181818181	voice
12	790	0	0	0.0	1.0	0.0	65.83333333333333	494	77050	0	0	0.0	41.166666666666664	0.0	6420.833333333333	voice
