Timestamp,SSIP,SSP,SDFP,SDFB,SFE,Status
2022-07-18_23:24:28.968414,0.4,4.0,0.21295885499997996,40.4621824499962,4.2,0
2022-07-18_23:24:33.969582,0.4,4.0,1.2777531299998799,242.77309469997718,4.2,0
2022-07-18_23:24:38.970870,0.4,4.0,2.3425474049997796,445.08400694995817,4.2,0
2022-07-18_23:24:43.972192,0.4,4.0,3.4073416799996794,647.3949191999392,4.2,0
2022-07-18_23:24:49.008978,0.4,4.0,4.47213595499958,849.7058314499201,4.2,0
2022-07-18_23:24:54.021656,0.4,4.0,5.53693022999948,1052.016743699901,4.2,0
2022-07-18_23:24:59.021801,0.4,4.0,6.601724504999379,1254.327655949882,4.2,0
2022-07-18_23:25:04.023263,0.4,4.0,7.666518779999278,1456.6385681998631,4.2,0
2022-07-18_23:25:09.024528,0.6,5.6,6.987333537504002,1476.6016918859264,5.8,0
2022-07-18_23:25:09.025064,0.4,1.2,0.5,27.0,1.2,0
2022-07-18_23:25:14.027645,0.6,6.6,6.464234848760584,1370.589333501201,6.8,0
2022-07-18_23:25:14.028283,0.4,3.2,0.5,27.0,3.2,0
2022-07-18_23:25:19.044006,0.4,5.2,0.5,27.0,5.2,0
2022-07-18_23:25:19.044646,0.6,7.6,6.043345512509064,1284.4721912106254,7.8,0
2022-07-18_23:25:24.047662,0.4,7.2,0.5,27.0,7.2,0
2022-07-18_23:25:24.048380,0.6,8.6,5.695211487231841,1212.7374607722525,8.8,0
2022-07-18_23:25:29.048096,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:25:29.048888,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:25:34.057846,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:25:34.058763,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:25:39.059316,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:25:39.060082,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:25:44.061979,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:25:44.062778,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:25:49.061275,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:25:49.061822,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:25:54.116856,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:25:54.118746,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:25:59.118831,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:25:59.120215,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:26:04.125721,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:26:04.126392,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:26:09.125619,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:26:09.126320,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:26:14.126026,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:26:14.126808,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:26:19.168197,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:26:19.169056,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:26:24.211690,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:26:24.212457,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:26:29.214092,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:26:29.215342,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:26:34.218449,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:26:34.219146,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:26:39.228266,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:26:39.229020,0.4,8.0,0.5,27.0,8.0,0
